blue; azzurro	
red; rosso
yellow; giallo
green; verde
white; bianco
black; nero
Hello.; Ciao
Hi!; Ciao!
Pleased to meet you.; Piacere
Good morning/ afternoon.; Buongiorno
Yes.; Si
No.; No
I don’t know.; Non lo so
Please.; Per favore
Yes, please.; Si, grazie
Good evening.; Buonasera
Good night.; Buonanotte
See you soon.; A presto
See you tomorrow.; A domani
Thank you.; Grazie
No, thanks.; No, grazie
Excuse me.; Mi scusi
Sorry?; Scusi?
See you on Saturday.; A sabato
Goodbye.; Arrivederci
Bye!; Cia!
Have a good day/ evening!; Buona giornata / serata!
I’m sorry.; Mi dispiace
OK!; Va bene!
You’re welcome.; Prego
I don’t understand.; Non capisco
How old are you?; Quanti anni ha?
When is your birthday?; Quand’è il suo compleanno?
I’m … years old.; Ho…
My birthday is on…; Il mio compleanno è…
I was born in...; Sono nato il…
I’m older/younger than…; Sono più grande / giovane di…
Where are you from?; Di dov’è?
Where do you live?; Dove vive?
I’m from...; Vengo da…
...the UK.; il Regno Unito
I live in...; Vivo a…
I’m...; Sono…
Scottish; scozzese
English; inglese
Irish; irlandese
Welsh; gallese
British; britannico
Are you married?; È sposato? / È sposata?
Are you single?; È single?
I’m married (man); Sono sposato
I’m married (woman); Sono sposata
I have a partner.; Ho un compagno / una compagna
I’m single.; Sono single
I’m divorced (man); Sono divorziato
I’m divorced (woman); Sono divorziata
I’m widowed (man); Sono vedovo
I’m widowed (woman); Sono vedova
Do you have any children?; Ha figli?
I have... children.; Ho … figli
I don’t have any children.; Non ho figli
This is my...; Questo / Questa è il mio / la mia...
These are my...; Questi sono i miei / le mie…
husband; il marito
wife; la moglie
boyfriend; il fidanzato
girlfriend; la fidanzata
partner; il compagno / la compagna
fiancé/fiancée; il fidanzato / la fidanzata
son; il figlio
daughter; la figlia
parents; i genitori
father; il padre
mother; la madre
brother; il fratello
sister; la sorella
grandfather; il nonno
grandmother; la nonna
grandson/nephew; il nipote
granddaughter/niece; la nipote
father-in-law; il suocero
mother-in-law; la suocera
daughter-in-law; la nuora
son-in-law; il genero
brother-in-law; il cognato
sister-in-law; la cognata
stepfather; il patrigno
stepmother; la matrigna
stepson; il figliastro
stepdaughter; la figliastra
uncle; lo zio
aunt; la zia
cousin; il cugino / la cugina
extended family; la famiglia allargata
friend; l’amico m / l’amica f
colleague; il / la collega
baby; il bebè
child; il bambino / la bambina
teenager; l’adolescente m / l’adolescente f
How are you?; Come sta?
How’s it going?; Come va?
How is he/she?; Come sta?
How are they?; Come stanno?
Very well, thanks, and you?; Bene grazie Lei?
Fine, thanks Bene, grazie.; Great! Benissimo!
So-so.; Così e così
Not bad, thanks.; Non male, grazie
Could be worse.; Potrebbe andare peggio
I’m tired.; Sono stanco
I’m fine.; Sto bene
I’m hungry/thirsty.; Ho fame / sete
I’m full.; Sono pieno
I’m cold/warm.; Ho freddo / caldo
I am...; Io sono…
He/She is...; Lui / Lei è…
They are...; Loro sono…
happy; felice
excited; emozionato
calm; calmo
surprised; sorpreso
annoyed; irritato
angry; arrabbiato
sad; triste
worried; preoccupato
afraid; spaventato
bored; annoiato
I feel...; Mi sento…
He/She feels...; Si sente…
They feel...; Si sentono…
well; bene
unwell; malato
better; meglio
worse; peggio
Where do you work?; Dove lavora?
What do you do?; Che fa nella vita?
What’s your occupation?; Che lavoro fa?
Do you work/study?; Lavora / Studia?
I’m self-employed.; Sono un lavoratore autonomo
I’m unemployed.; Sono disoccupato
I’m at university.; Vado all’università
I’m retired.; Sono in pensione
I’m travelling.; Sto viaggiando
I work from home.; Lavoro da casa
I work part-/full-time.; Lavoro a tempo parziale / pieno
I work as a/an...; Lavoro come…
I’m a/an...; Sono un / una…
builder; il costruttore
chef; lo chef
civil servant; il funzionario pubblico /la funzionaria pubblica
cleaner; l’addetto alle pulizie m / l’addetta alle pulizie f
dentist; il dentista / la dentista
doctor; il dottore
driver; l’autista m / l’autista f
electrician; l’elettricista m
engineer; l’ingegnere m
farmer; il contadino / la contadina
firefighter; il pompiere
fisherman; il pescatore
IT worker; il tecnico / informatico
joiner; il falegname
journalist; il giornalista / la giornalista
lawyer; l’avvocato m
mechanic; il meccanico
nurse; l’infermiere m / l’infermiera f
office worker; l’impiegato m / l’impiegata f
plumber; l’idraulico m
police officer; il poliziotto / la poliziotta
postal worker; l’impiegato delle poste m / l’impiegata delle poste f
sailor; il marinaio
salesperson; il venditore / la venditrice
scientist; lo scienziato / la scienziata
soldier; il soldato
teacher; il professore / la professoressa
vet; il veterinario / la veterinaria
waiter; il cameriere
waitress; la cameriera
I work at/in...; Lavoro a…
business; l’impresa
company; la società
construction site; il cantiere
factory; la fabbrica
government; il governo
hospital; l’ospedale m
hotel; l’albergo m
office; l’ufficio m
restaurant; il ristorante
school; la scuola
shop; il negozio
morning; la mattina
afternoon; il pomeriggio
evening; la sera 
night; la notte
midday; il mezzogiorno
midnight; la mezzanotte
What time is it?; Che ora è?
It’s nine o’clock.; Sono le nove
It’s ten past nine.; Sono le nove e dieci
It’s quarter past nine.; Sono le nove e un quarto
It’s 25 past nine.; Sono le nove e venticinque
It’s half past nine.; Sono le nove e mezza
It’s 20 to ten.; Sono le dieci meno venti
It’s quarter to ten.; Sono le dieci meno un quarto
It’s five to ten.; Sono le dieci meno cinque
It’s 10 a.m.; Sono le dieci di mattina
It’s 5 p.m.; Sono le cinque di pomeriggio
It’s 17:30.; Sono le diciassette e trenta
When...?; Quando…?
...in 60 seconds/ two minutes.;...tra 60 secondi / due minuti
...in an hour.;...tra un’ora
...in quarter of an hour.;...tra un quarto d’ora
...in half an hour.;...tra mezz’ora
today; oggi
tonight; stasera
tomorrow; domani
yesterday; ieri
the day after tomorrow; dopodomani
the day before yesterday; l’altro ieri
early; in anticipo / presto
late; tardi
soon; presto
later; più tardi
now; ora
Monday; lunedì
Tuesday; martedì
Wednesday; mercoledì
Thursday; giovedì
Friday; venerdì
Saturday; sabato
